complaint_id,txn_id,user_id,merchant_id,disputed_amount,reason_code,reason_category,complaint_text,resolution_status,severity,channel,reported_timestamp,transaction_timestamp,bank_response_timestamp,disputed_amount_missing,disputed_amount_negative,txn_id_missing,reported_ts_missing,txn_ts_missing,bank_response_missing,reported_before_txn,complaint_id_duplicate
CBK0002082,TXN00004325,USR97580,MCH1127,,Merchant Not Delivered,SERVICE_NOT_DELIVERED,Customer says amount was debited twice.,CLOSED,CRITICAL,IVR,2026-02-01 00:00:00,2026-01-28 00:00:00,2026-02-10 03:19:10,True,False,False,False,False,False,False,False
CBK0001941,TXN00003720,USR54113,MCH3835,414.69,login compromised,ACCOUNT_TAKEOVER,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,HIGH,CALL_CENTER,2026-03-05 06:24:15,2026-02-25 10:24:00,2026-03-12 06:24:00,False,False,False,False,False,False,False,False
CBK0001799,TXN00012539,USR17980,MCH3700,7039.0,customer issue,CUSTOMER_DISPUTE,merchant service was not delivered after payment.,OPEN,LOW,IVR,2026-02-05 00:00:00,2026-02-04 00:00:00,2026-03-06 00:00:00,False,False,False,False,False,False,False,False
CBK0002465,TXN00017802,USR76148,MCH4534,1303.05,no service,SERVICE_NOT_DELIVERED,Suspicious high-value payment disputed by customer. pls check asap,REJECTED,HIGH,IVR,2026-04-01 00:00:00,2026-03-30 00:00:00,2026-04-07 00:00:00,False,False,False,False,False,False,False,False
CBK0001870,TXN00015944,USR24660,MCH1686,1459.42,merchant service issue,SERVICE_NOT_DELIVERED,Merchant service was not delivered after payment.,IN_PROGRESS,LOW,APP,2026-01-14 21:01:41,2026-01-09 00:00:00,2026-01-26 00:00:00,False,False,False,False,False,False,False,False
CBK0002663,TXN00009741,USR40631,MCH9584,548.0,service failed,SERVICE_NOT_DELIVERED,Complaint received after multiple failed attempts. urgent,CLOSED,LOW,BRANCH,2026-02-06 00:00:00,2026-02-05 00:00:00,2026-02-23 00:00:00,False,False,False,False,False,False,False,False
CBK0000782,TXN00015086,USR58789,MCH6008,1949.6,extra amount deducted,AMOUNT_MISMATCH,User says UPI PIN was not entered by them.,IN_PROGRESS,MEDIUM,CHATBOT,2026-02-10 00:00:00,2026-02-05 00:00:00,2026-03-03 00:00:00,False,False,False,False,False,False,False,False
CBK0001838,TXN00014426,USR30157,MCH4526,4193.52,Service Not Provided,SERVICE_NOT_DELIVERED,Merchant service was not delivered after payment. details missing,OPEN,MEDIUM,CHATBOT,2026-04-06 04:17:08,2026-03-26 10:17:08,2026-04-18 00:00:00,False,False,False,False,False,False,False,False
CBK0001095,TXN00015316,USR86750,MCH5980,930.83,dispute raised,CUSTOMER_DISPUTE,Customer complaint text unclear due to poor call center notes.,OPEN,HIGH,BRANCH,2026-01-13 00:00:00,2026-01-12 00:00:00,2026-01-14 00:00:00,False,False,False,False,False,False,False,False
CBK0002541,TXN00002822,USR11987,MCH3992,,UNAUTHORISED,UNAUTHORIZED,User claims account was compromised before transaction.,OPEN,HIGH,IVR,2026-03-23 00:00:00,2026-03-18 10:04:06,2026-03-30 00:00:00,True,False,False,False,False,False,False,False
CBK0001147,TXN00002456,USR89588,MCH2614,1805.23,double debit,DUPLICATE_DEBIT,customer says amount was debited twice.,IN_PROGRESS,LOW,CHATBOT,2026-02-12 00:00:00,2026-02-10 03:16:00,2026-03-12 14:16:00,False,False,False,False,False,False,False,False
CBK0001137,TXN00015627,USR35882,MCH8913,4853.7,dispute raised,CUSTOMER_DISPUTE,Customer says amount was debited twice.,RESOLVED,MEDIUM,CHATBOT,2026-01-21 00:00:00,2026-01-21 01:07:00,2026-02-06 08:07:54,False,False,False,False,False,False,True,False
CBK0002213,TXN00009870,USR79046,MCH8457,12334.0,Merchant Not Delivered,SERVICE_NOT_DELIVERED,Merchant service was not delivered after payment.,IN_PROGRESS,MEDIUM,IVR,2026-02-17 00:00:00,2026-01-02 00:00:00,,False,False,False,False,False,True,False,False
CBK0000946,TXN00013141,USR22644,MCH9193,7638.7,Fraud Suspected,FRAUD,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,IN_PROGRESS,CRITICAL,EMAIL,2026-01-31 14:01:41,2026-01-26 00:00:00,,False,False,False,False,False,True,False,False
CBK0002366,TXN00012165,USR98915,MCH6399,,fraud,FRAUD,Customer says transaction was not authorized.,IN_PROGRESS,LOW,CALL_CENTER,2026-02-20 00:00:00,2026-02-20 00:00:00,2026-02-23 21:48:00,True,False,False,False,False,False,False,False
CBK0002026,TXN00019737,USR27262,MCH4852,174.11,charged twice,DUPLICATE_DEBIT,Merchant service was not delivered after payment.,RESOLVED,MEDIUM,IVR,2026-01-23 00:00:00,2026-01-13 00:00:00,2026-02-11 19:25:13,False,False,False,False,False,False,False,False
CBK0001099,TXN00011289,USR94570,MCH4545,305.0,Account Takeover,ACCOUNT_TAKEOVER,Payment made to unknown merchant as per customer statement.,CLOSED,CRITICAL,IVR,2026-02-04 00:00:00,2026-01-30 04:49:00,2026-02-28 00:00:00,False,False,False,False,False,False,False,False
CBK0001197,TXN00006253,USR19220,MCH7286,4952.0,dispute raised,CUSTOMER_DISPUTE,Complaint received after multiple failed attempts.,REJECTED,MEDIUM,CHATBOT,2026-01-10 00:00:00,2026-01-08 00:00:00,2026-01-20 14:43:26,False,False,False,False,False,False,False,False
CBK0002347,TXN00010961,USR55439,MCH7581,1126.18,Wrong Amount,AMOUNT_MISMATCH,Customer says transaction was not authorized.,REJECTED,LOW,BRANCH,2026-03-15 00:00:00,2026-02-13 00:00:00,,False,False,False,False,False,True,False,False
CBK0000289,TXN00005764,USR38028,MCH6758,513.84,Fraud Suspected,FRAUD,User claims account was compromised before transaction.,REJECTED,MEDIUM,CHATBOT,,2026-03-12 23:03:00,,False,False,False,True,False,True,False,False
CBK0002002,TXN00010298,USR97772,MCH5269,534.44,service failed,SERVICE_NOT_DELIVERED,Merchant service was not delivered after payment. urgent,IN_PROGRESS,CRITICAL,CHATBOT,2026-01-08 00:00:00,2026-01-03 00:00:00,2026-02-03 23:32:04,False,False,False,False,False,False,False,False
CBK0000512,TXN00014054,USR27947,MCH7667,4010.97,Unauthorized Transaction,UNAUTHORIZED,Customer says amount was debited twice.,CLOSED,LOW,CHATBOT,2026-01-26 00:00:00,2026-01-21 00:00:00,2026-01-30 00:00:00,False,False,False,False,False,False,False,False
CBK0001155,TXN00010146,USR94690,MCH3957,2637.93,unauthorized_transaction,UNAUTHORIZED,Payment made to unknown merchant as per customer statement.,IN_PROGRESS,MEDIUM,IVR,,2026-02-09 19:16:42,2026-02-23 06:16:42,False,False,False,True,False,False,False,False
CBK0001330,TXN00005940,USR67471,MCH8738,1360.01,DUP_DEBIT,DUPLICATE_DEBIT,Suspicious high-value payment disputed by customer.,PENDING_BANK,MEDIUM,CHATBOT,2026-03-15 12:34:00,2026-03-14 00:34:00,2026-03-27 00:00:00,False,False,False,False,False,False,False,False
CBK0000259,TXN00017504,USR24872,MCH9291,12647.35,unauthorized_transaction,UNAUTHORIZED,merchant service was not delivered after payment.,IN_PROGRESS,LOW,CHATBOT,2026-01-30 09:27:00,2026-01-22 00:00:00,2026-02-13 00:00:00,False,False,False,False,False,False,False,False
CBK0000164,TXN00010786,USR79443,MCH3729,,charged twice,DUPLICATE_DEBIT,Payment made to unknown merchant as per customer statement.,CLOSED,MEDIUM,IVR,2026-01-18 00:00:00,2026-01-08 02:00:24,2026-01-23 04:00:24,True,False,False,False,False,False,False,False
CBK0000681,TXN00006290,USR89588,MCH9105,,extra amount deducted,AMOUNT_MISMATCH,Merchant service was not delivered after payment.,REJECTED,LOW,IVR,2026-02-02 00:00:00,2026-01-28 00:00:00,2026-02-28 00:00:00,True,False,False,False,False,False,False,False
CBK0002683,TXN00004094,USR73891,MCH8154,2519.45,incorrect amount,AMOUNT_MISMATCH,suspicious high-value payment disputed by customer.,IN_PROGRESS,HIGH,IVR,2026-01-06 00:00:00,2026-01-08 00:00:00,2026-01-21 00:00:00,False,False,False,False,False,False,True,False
CBK0002792,TXN00005061,USR22154,MCH9022,1535.65,account hacked,ACCOUNT_TAKEOVER,Customer says amount was debited twice.,REJECTED,HIGH,CHATBOT,2026-03-02 00:00:00,2026-02-28 13:16:03,2026-03-30 00:00:00,False,False,False,False,False,False,False,False
CBK0000594,TXN00065742,USR32980,MCH7020,470.0,Merchant Not Delivered,SERVICE_NOT_DELIVERED,suspicious high-value payment disputed by customer.,CLOSED,MEDIUM,EMAIL,,2026-02-19 00:00:00,2026-02-24 00:00:00,False,False,False,True,False,False,False,False
CBK0001247,TXN00003165,USR41524,MCH2342,2714.54,scam,FRAUD,Suspicious high-value payment disputed by customer.,RESOLVED,MEDIUM,CALL_CENTER,2026-01-09 00:00:00,2026-01-04 00:00:00,2026-02-03 00:00:00,False,False,False,False,False,False,False,False
CBK0000566,TXN00000086,USR11727,MCH4948,411.83,unauth txn,UNAUTHORIZED,User says UPI PIN was not entered by them.,REJECTED,HIGH,CHATBOT,2026-02-24 02:13:00,2026-02-23 00:00:00,2026-03-15 00:00:00,False,False,False,False,False,False,False,False
CBK0002764,TXN00014418,USR71468,MCH6403,1393.43,Service Not Provided,SERVICE_NOT_DELIVERED,customer complaint text unclear due to poor call center notes.,PENDING_BANK,MEDIUM,EMAIL,2026-03-05 00:00:00,2026-03-03 00:00:00,,False,False,False,False,False,True,False,False
CBK0000023,TXN00001464,USR92751,MCH2757,1112.83,Merchant Not Delivered,SERVICE_NOT_DELIVERED,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,RESOLVED,MEDIUM,IVR,2026-04-13 00:00:00,2026-03-14 00:00:00,2026-04-16 00:00:00,False,False,False,False,False,False,False,False
