merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account_last4,merchant_status,declared_avg_ticket_size,mcc_inferred,mcc_missing,ticket_size_negative,ticket_size_missing,settlement_account_missing,onboarding_missing
MCH1001,Anand-Kothari,5411,GROCERY,PARTNERSHIP,Pune,Maharashtra,2026-02-17 06:54:00,XXXX6762,ACTIVE,332.55,True,False,False,False,False,False
MCH1002,"Apte, Saha and Edwin",5812,RESTAURANT,PRIVATE_LIMITED,Bengaluru,Karnataka,2026-01-07 09:01:00,XXXX8596,ACTIVE,1671.2,False,False,False,False,False,False
MCH1003,"Nayar, Batta and Barad",5699,APPAREL,PRIVATE_LIMITED,Chennai,Tamil Nadu,,,ACTIVE,792.91,False,False,False,False,True,True
MCH1004,Pillai-Mohan,4131,TRANSPORT,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2023-04-08 00:00:00,XXXX4449,ACTIVE,342.7,False,False,False,False,False,False
MCH1005,SAGAR AND SONS,5912,PHARMACY,PARTNERSHIP,Ludhiana,Punjab,2024-02-06 00:00:00,XXXX9775,ACTIVE,967.53,False,False,False,False,False,False
MCH1007,Jain-Wadhwa,7011,HOTEL,PRIVATE_LIMITED,Chennai,Tamil Nadu,2025-06-30 00:00:00,,INACTIVE,-927.51,False,False,True,False,True,False
MCH1009,Bha11a-Dave,4131,TRANSPORT,INDIVIDUAL,Mumbai,Maharashtra,2024-01-08 00:00:00,XXXX3178,ACTIVE,1496.0,True,False,False,False,False,False
MCH1010,Menon-Andra,5411,GROCERY,PRIVATE_LIMITED,Delhi,Delhi,2024-11-17 00:00:00,XXXX4837,ACTIVE,678.36,True,False,False,False,False,False
MCH1011,Wable and Sons,5411,GROCERY,PRIVATE_LIMITED,Ludhiana,Punjab,2023-11-02 00:00:00,,ACTIVE,6536.07,False,False,False,False,True,False
MCH1014,"Agate, Saxena and Pandit",5311,DEPARTMENT_STORE,PARTNERSHIP,Jalandhar,Punjab,2023-12-21 00:00:00,XXXX9270,ACTIVE,1096.96,False,False,False,False,False,False
MCH1015,Mannan-Subramaniam,7011,HOTEL,INDIVIDUAL,Hyderabad,Telangana,2024-05-19 00:00:00,,ACTIVE,-1116.83,False,False,True,False,True,False
MCH1016,"Mangat, Som and Deshmukh",5942,BOOKS_STATIONERY,INDIVIDUAL,Pune,Maharashtra,2025-02-08 00:00:00,XXXX0615,INACTIVE,756.28,False,False,False,False,False,False
MCH1018,Kannan-Khatri,5311,DEPARTMENT_STORE,INDIVIDUAL,Jalandhar,Punjab,2023-03-19 00:00:00,,ACTIVE,1791.0,False,False,False,False,True,False
MCH1019,Iyer-Thaker,5699,APPAREL,PARTNERSHIP,Kolkata,West Bengal,2025-05-23 00:00:00,XXXX9462,ACTIVE,,False,False,False,True,False,False
MCH1020,Garg-Kale,4131,TRANSPORT,SOLE_PROPRIETOR,Amritsar,Punjab,2023-05-09 00:00:00,,ACTIVE,1015.68,False,False,False,False,True,False
MCH1021,Naik-Karpe,5411,GROCERY,SOLE_PROPRIETOR,Mumbai,Maharashtra,2025-11-16 17:48:36,XXXX7444,ACTIVE,2341.57,False,False,False,False,False,False
MCH1022,Ramesh-Bhat,5999,MISC_RETAIL,PRIVATE_LIMITED,Hyderabad,Telangana,,,ACTIVE,3026.17,True,False,False,False,True,True
MCH1032,Nori-Nigam,7011,HOTEL,SOLE_PROPRIETOR,Pune,Maharashtra,2025-09-21 00:00:00,XXXX9058,ACTIVE,652.29,False,False,False,False,False,False
MCH1033,Sidhu and Sons,4814,TELECOM,INDIVIDUAL,Jalandhar,Punjab,2023-09-11 00:00:00,XXXX9623,ACTIVE,1871.48,False,False,False,False,False,False
MCH1034,DEVI-CHAUDHARI,7011,HOTEL,PRIVATE_LIMITED,Delhi,Delhi,2024-06-17 22:15:00,XXXX9097,ACTIVE,243.38,False,False,False,False,False,False
MCH1035,Minhas-Khatri,5812,RESTAURANT,SOLE_PROPRIETOR,Mumbai,Maharashtra,2024-01-24 00:00:00,XXXX9781,ACTIVE,5777.68,False,False,False,False,False,False
MCH1039,Lal-Barad,4814,TELECOM,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2025-07-28 00:43:00,,ACTIVE,3062.03,False,False,False,False,True,False
MCH1040,Krishnan and S0ns,5411,GROCERY,SOLE_PROPRIETOR,Jalandhar,Punjab,2023-01-06 00:00:00,XXXX2531,ACTIVE,1030.03,False,False,False,False,False,False
