merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account_last4,merchant_status,declared_avg_ticket_size,mcc_inferred,mcc_missing,ticket_size_negative,ticket_size_missing,settlement_account_missing,onboarding_missing
MCH1007,"Sunder, Wason and Pau",5812,RESTAURANT,PARTNERSHIP,Jaipur,Rajasthan,2023-11-19 00:00:00,,ACTIVE,164.45,False,False,False,False,True,False
MCH1011,Wable and Sons,5411,GROCERY,PRIVATE_LIMITED,Ludhiana,Punjab,2023-11-02 00:00:00,,INACTIVE,6536.07,False,False,False,False,True,False
MCH1014,"Raghavan, Barad and Bahl",5812,RESTAURANT,PARTNERSHIP,Pune,Maharashtra,2024-03-23 00:00:00,XXXX3357,ACTIVE,,False,False,False,True,False,False
MCH1016,"Reddy, Amble and Parmar",4814,TELECOM,PARTNERSHIP,Chennai,Tamil Nadu,2023-03-10 00:00:00,,ACTIVE,517.37,False,False,False,False,True,False
MCH1016,"CHAR, BHARGAVA AND CHAUDHARY",5812,RESTAURANT,PRIVATE_LIMITED,Hyderabad,Telangana,,XXXX8108,ACTIVE,1933.0,False,False,False,False,False,True
MCH1021,VARGHESE-RAMACHANDRAN,5812,RESTAURANT,PRIVATE_LIMITED,Amritsar,Punjab,,,ACTIVE,734.0,False,False,False,False,True,True
MCH1032,Manda-Hayer,7011,HOTEL,PARTNERSHIP,Amritsar,Punjab,2025-04-20 00:00:00,XXXX4099,ACTIVE,674.56,False,False,False,False,False,False
MCH1032,Manda-Hayer,7011,HOTEL,PARTNERSHIP,Amritsar,Punjab,2025-04-20 00:00:00,XXXX4099,INACTIVE,674.56,False,False,False,False,False,False
MCH1033,Virk PLC,7011,HOTEL,INDIVIDUAL,Amritsar,Punjab,2023-07-08 00:00:00,XXXX6158,INACTIVE,-1825.13,False,False,True,False,False,False
MCH1039,Palan-Mody,4814,TELECOM,INDIVIDUAL,Hyderabad,Telangana,2023-07-14 00:00:00,,ACTIVE,-545.34,False,False,True,False,True,False
MCH1040,chand plc,5912,PHARMACY,INDIVIDUAL,Pune,Maharashtra,2024-09-08 00:00:00,,ACTIVE,653.92,False,False,False,False,True,False
MCH1047,"natarajan, kashyap and goel",7011,HOTEL,PRIVATE_LIMITED,Kolkata,West Bengal,2023-08-01 00:00:00,XXXX9448,ACTIVE,2594.0,True,False,False,False,False,False
MCH1060,Goda and Sons,5311,DEPARTMENT_STORE,SOLE_PROPRIETOR,Chennai,Tamil Nadu,2023-05-18 00:00:00,XXXX4269,INACTIVE,2371.8,False,False,False,False,False,False
MCH1060,Sampath-Dora,5812,RESTAURANT,PARTNERSHIP,Jalandhar,Punjab,2023-07-27 03:57:00,,ACTIVE,2594.73,True,False,False,False,True,False
MCH1064,Mishra-Badami,5942,BOOKS_STATIONERY,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2025-03-12 00:00:00,,ACTIVE,2393.66,False,False,False,False,True,False
MCH1071,ShankarGroup,7011,HOTEL,INDIVIDUAL,Mumbai,Maharashtra,2024-06-23 13:38:43,XXXX4160,ACTIVE,-389.19,False,False,True,False,False,False
MCH1071,Wali and Sons,4814,TELECOM,SOLE_PROPRIETOR,Bengaluru,Karnataka,2025-01-21 00:00:00,,ACTIVE,1437.33,False,False,False,False,True,False
MCH1075,Lala PLC,4814,TELECOM,INDIVIDUAL,Pune,Maharashtra,2024-06-01 00:00:00,XXXX2770,INACTIVE,1162.41,False,False,False,False,False,False
MCH1077,"Peri, Pai and Dani",5311,DEPARTMENT_STORE,INDIVIDUAL,Pune,Maharashtra,2025-07-24 01:37:17,XXXX7257,ACTIVE,1189.85,False,False,False,False,False,False
MCH1077,Mitter and Sons,5812,RESTAURANT,INDIVIDUAL,Chennai,Tamil Nadu,2026-01-12 00:00:00,,INACTIVE,606.84,False,False,False,False,True,False
MCH1089,"Mann, Edwin and Misra",5411,GROCERY,INDIVIDUAL,Jaipur,Rajasthan,,XXXX3549,ACTIVE,678.0,False,False,False,False,False,True
MCH1101,Ramaswamy-Prabhakar,5912,PHARMACY,SOLE_PROPRIETOR,Chennai,Tamil Nadu,2025-06-02 00:00:00,,ACTIVE,8687.0,False,False,False,False,True,False
MCH1101,Sethi Ltd,5812,RESTAURANT,PARTNERSHIP,Kolkata,West Bengal,2023-08-10 00:00:00,,ACTIVE,840.25,False,False,False,False,True,False
MCH1101,Seshadri-Rajagopalan,4814,TELECOM,INDIVIDUAL,Kolkata,West Bengal,2023-06-28 00:00:00,,INACTIVE,3516.26,False,False,False,False,True,False
MCH1101,"Deo, Gill and Dhaliwal",5812,RESTAURANT,PRIVATE_LIMITED,Delhi,Delhi,2023-05-26 09:37:00,,ACTIVE,1076.28,False,False,False,False,True,False
